mu	lambda	eps	turnover	netdiv	psi	ntip	m.type	k.type	k.ratio
0.019047619	0.380952381	0.05	0.4	0.361904762	0.01	200	0	10	1
0.019047619	0.380952381	0.05	0.4	0.361904762	0.01	200	0	5	1
0.019047619	0.380952381	0.05	0.4	0.361904762	0.01	200	0	7	1
0.019047619	0.380952381	0.05	0.4	0.361904762	0.01	200	0	5	1
0.019047619	0.380952381	0.05	0.4	0.361904762	0.01	200	0	2	1
0.019047619	0.380952381	0.05	0.4	0.361904762	0.01	200	0	6	1
0.019047619	0.380952381	0.05	0.4	0.361904762	0.01	200	0	9	1
0.019047619	0.380952381	0.05	0.4	0.361904762	0.01	200	0	6	1
0.019047619	0.380952381	0.05	0.4	0.361904762	0.01	200	0	2	1
0.019047619	0.380952381	0.05	0.4	0.361904762	0.01	200	1	4	0.8
0.023809524	0.476190476	0.05	0.5	0.452380952	0.01	200	0	1	1
0.023809524	0.476190476	0.05	0.5	0.452380952	0.01	200	0	1	1
0.023809524	0.476190476	0.05	0.5	0.452380952	0.01	200	0	3	1
0.023809524	0.476190476	0.05	0.5	0.452380952	0.01	200	0	3	1
0.023809524	0.476190476	0.05	0.5	0.452380952	0.01	200	0	4	1
0.023809524	0.476190476	0.05	0.5	0.452380952	0.01	200	0	3	1
0.023809524	0.476190476	0.05	0.5	0.452380952	0.01	200	0	6	1
0.023809524	0.476190476	0.05	0.5	0.452380952	0.01	200	0	3	1
0.023809524	0.476190476	0.05	0.5	0.452380952	0.01	200	0	9	1
0.023809524	0.476190476	0.05	0.5	0.452380952	0.01	200	0	6	1
0.023809524	0.476190476	0.05	0.5	0.452380952	0.01	200	0	5	1
0.023809524	0.476190476	0.05	0.5	0.452380952	0.01	200	0	6	1
0.023809524	0.476190476	0.05	0.5	0.452380952	0.01	200	1	6	0.857142857
0.023809524	0.476190476	0.05	0.5	0.452380952	0.01	200	0	1	1
0.023809524	0.476190476	0.05	0.5	0.452380952	0.01	200	0	2	1
0.023809524	0.476190476	0.05	0.5	0.452380952	0.01	200	0	6	1
0.023809524	0.476190476	0.05	0.5	0.452380952	0.01	200	0	2	1
0.023809524	0.476190476	0.05	0.5	0.452380952	0.01	200	0	2	1
0.023809524	0.476190476	0.05	0.5	0.452380952	0.01	200	1	2	0.666666667
0.023809524	0.476190476	0.05	0.5	0.452380952	0.01	200	0	6	1
0.028571429	0.571428571	0.05	0.6	0.542857143	0.01	200	1	3	0.75
0.028571429	0.571428571	0.05	0.6	0.542857143	0.01	200	0	2	1
0.028571429	0.571428571	0.05	0.6	0.542857143	0.01	200	0	2	1
0.028571429	0.571428571	0.05	0.6	0.542857143	0.01	200	0	4	1
0.028571429	0.571428571	0.05	0.6	0.542857143	0.01	200	0	2	1
0.028571429	0.571428571	0.05	0.6	0.542857143	0.01	200	0	5	1
0.028571429	0.571428571	0.05	0.6	0.542857143	0.01	200	0	4	1
0.028571429	0.571428571	0.05	0.6	0.542857143	0.01	200	0	8	1
0.028571429	0.571428571	0.05	0.6	0.542857143	0.01	200	0	2	1
0.028571429	0.571428571	0.05	0.6	0.542857143	0.01	200	0	3	1
0.028571429	0.571428571	0.05	0.6	0.542857143	0.01	200	0	2	1
0.028571429	0.571428571	0.05	0.6	0.542857143	0.01	200	0	2	1
0.028571429	0.571428571	0.05	0.6	0.542857143	0.01	200	0	6	1
0.028571429	0.571428571	0.05	0.6	0.542857143	0.01	200	0	5	1
0.028571429	0.571428571	0.05	0.6	0.542857143	0.01	200	0	1	1
0.028571429	0.571428571	0.05	0.6	0.542857143	0.01	200	0	3	1
0.028571429	0.571428571	0.05	0.6	0.542857143	0.01	200	1	6	0.857142857
0.028571429	0.571428571	0.05	0.6	0.542857143	0.01	200	0	3	1
0.028571429	0.571428571	0.05	0.6	0.542857143	0.01	200	0	5	1
0.028571429	0.571428571	0.05	0.6	0.542857143	0.01	200	0	3	1
0.033333333	0.666666667	0.05	0.7	0.633333333	0.01	200	0	1	1
0.033333333	0.666666667	0.05	0.7	0.633333333	0.01	200	0	5	1
0.033333333	0.666666667	0.05	0.7	0.633333333	0.01	200	0	2	1
0.033333333	0.666666667	0.05	0.7	0.633333333	0.01	200	0	3	1
0.033333333	0.666666667	0.05	0.7	0.633333333	0.01	200	0	4	1
0.033333333	0.666666667	0.05	0.7	0.633333333	0.01	200	0	1	1
0.033333333	0.666666667	0.05	0.7	0.633333333	0.01	200	1	2	0.666666667
0.033333333	0.666666667	0.05	0.7	0.633333333	0.01	200	0	9	1
0.033333333	0.666666667	0.05	0.7	0.633333333	0.01	200	0	2	1
0.033333333	0.666666667	0.05	0.7	0.633333333	0.01	200	0	2	1
0.033333333	0.666666667	0.05	0.7	0.633333333	0.01	200	0	3	1
0.033333333	0.666666667	0.05	0.7	0.633333333	0.01	200	0	3	1
0.033333333	0.666666667	0.05	0.7	0.633333333	0.01	200	0	1	1
0.033333333	0.666666667	0.05	0.7	0.633333333	0.01	200	0	4	1
0.033333333	0.666666667	0.05	0.7	0.633333333	0.01	200	0	1	1
0.033333333	0.666666667	0.05	0.7	0.633333333	0.01	200	0	4	1
0.033333333	0.666666667	0.05	0.7	0.633333333	0.01	200	0	3	1
0.033333333	0.666666667	0.05	0.7	0.633333333	0.01	200	0	3	1
0.033333333	0.666666667	0.05	0.7	0.633333333	0.01	200	0	3	1
0.033333333	0.666666667	0.05	0.7	0.633333333	0.01	200	0	3	1
0.038095238	0.761904762	0.05	0.8	0.723809524	0.01	200	0	3	1
0.038095238	0.761904762	0.05	0.8	0.723809524	0.01	200	0	3	1
0.038095238	0.761904762	0.05	0.8	0.723809524	0.01	200	0	3	1
0.038095238	0.761904762	0.05	0.8	0.723809524	0.01	200	0	3	1
0.038095238	0.761904762	0.05	0.8	0.723809524	0.01	200	0	3	1
0.038095238	0.761904762	0.05	0.8	0.723809524	0.01	200	0	1	1
0.038095238	0.761904762	0.05	0.8	0.723809524	0.01	200	0	2	1
0.038095238	0.761904762	0.05	0.8	0.723809524	0.01	200	0	2	1
0.038095238	0.761904762	0.05	0.8	0.723809524	0.01	200	0	4	1
0.038095238	0.761904762	0.05	0.8	0.723809524	0.01	200	0	2	1
0.038095238	0.761904762	0.05	0.8	0.723809524	0.01	200	0	1	1
0.038095238	0.761904762	0.05	0.8	0.723809524	0.01	200	1	3	0.75
0.038095238	0.761904762	0.05	0.8	0.723809524	0.01	200	0	4	1
0.038095238	0.761904762	0.05	0.8	0.723809524	0.01	200	0	2	1
0.038095238	0.761904762	0.05	0.8	0.723809524	0.01	200	0	3	1
0.038095238	0.761904762	0.05	0.8	0.723809524	0.01	200	0	1	1
0.038095238	0.761904762	0.05	0.8	0.723809524	0.01	200	0	7	1
0.038095238	0.761904762	0.05	0.8	0.723809524	0.01	200	0	3	1
0.038095238	0.761904762	0.05	0.8	0.723809524	0.01	200	0	1	1
0.038095238	0.761904762	0.05	0.8	0.723809524	0.01	200	0	1	1
0.042857143	0.857142857	0.05	0.9	0.814285714	0.01	200	0	4	1
0.042857143	0.857142857	0.05	0.9	0.814285714	0.01	200	0	4	1
0.042857143	0.857142857	0.05	0.9	0.814285714	0.01	200	0	1	1
0.042857143	0.857142857	0.05	0.9	0.814285714	0.01	200	0	3	1
0.042857143	0.857142857	0.05	0.9	0.814285714	0.01	200	0	3	1
0.042857143	0.857142857	0.05	0.9	0.814285714	0.01	200	0	4	1
0.042857143	0.857142857	0.05	0.9	0.814285714	0.01	200	0	5	1
0.042857143	0.857142857	0.05	0.9	0.814285714	0.01	200	0	1	1
0.042857143	0.857142857	0.05	0.9	0.814285714	0.01	200	1	1	0.5
0.042857143	0.857142857	0.05	0.9	0.814285714	0.01	200	0	5	1
0.042857143	0.857142857	0.05	0.9	0.814285714	0.01	200	0	1	1
0.042857143	0.857142857	0.05	0.9	0.814285714	0.01	200	0	8	1
0.042857143	0.857142857	0.05	0.9	0.814285714	0.01	200	0	1	1
0.042857143	0.857142857	0.05	0.9	0.814285714	0.01	200	0	1	1
0.042857143	0.857142857	0.05	0.9	0.814285714	0.01	200	0	2	1
0.042857143	0.857142857	0.05	0.9	0.814285714	0.01	200	0	2	1
0.042857143	0.857142857	0.05	0.9	0.814285714	0.01	200	0	1	1
0.042857143	0.857142857	0.05	0.9	0.814285714	0.01	200	0	1	1
0.042857143	0.857142857	0.05	0.9	0.814285714	0.01	200	0	4	1
0.042857143	0.857142857	0.05	0.9	0.814285714	0.01	200	0	7	1
